epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7517,3.72947,3.96925,3.52704,0.6575,0.03462,0.02455,0.00777,2.90897,2.60573,2.66368,0.0701596,0.0033156,0.0033156
2,134.055,2.40065,2.14502,2.027,0.47413,0.12579,0.09815,0.03864,2.27531,1.8396,1.92458,0.0401157,0.00660505,0.00660505
3,183.808,2.03302,1.79968,1.72174,0.57327,0.15366,0.13497,0.05342,2.14932,2.11072,1.84089,0.0100278,0.0098505,0.0098505
4,235.755,1.79406,1.58771,1.53936,0.36539,0.2024,0.19712,0.09933,1.65704,1.54618,1.4964,0.009802,0.009802,0.009802
5,289.598,1.64306,1.43438,1.43111,0.36583,0.24835,0.22195,0.11759,1.58616,1.41037,1.45775,0.009736,0.009736,0.009736
6,343.65,1.56575,1.30796,1.38258,0.4296,0.27531,0.25427,0.13906,1.48068,1.18731,1.36445,0.00967,0.00967,0.00967
7,397.504,1.49381,1.22859,1.33756,0.43872,0.30053,0.27687,0.14865,1.44947,1.16365,1.35921,0.009604,0.009604,0.009604
8,449.236,1.44218,1.17088,1.30847,0.61774,0.29193,0.30689,0.16808,1.40222,1.11435,1.32357,0.009538,0.009538,0.009538
9,502.861,1.39898,1.12018,1.28301,0.32042,0.3584,0.32479,0.18016,1.39195,1.06264,1.31216,0.009472,0.009472,0.009472
10,556.139,1.3613,1.07279,1.2563,0.57143,0.38344,0.38058,0.2156,1.30802,1.03121,1.25997,0.009406,0.009406,0.009406
11,605.923,1.3525,1.05149,1.25074,0.44801,0.39179,0.40197,0.22405,1.30032,0.99702,1.25875,0.00934,0.00934,0.00934
12,655.032,1.32363,1.02038,1.23161,0.41413,0.42017,0.39343,0.22112,1.29443,0.97484,1.25945,0.009274,0.009274,0.009274
13,703.607,1.30032,0.99188,1.22253,0.56022,0.43912,0.43864,0.24676,1.26884,0.93015,1.23215,0.009208,0.009208,0.009208
14,752.675,1.27191,0.96366,1.2131,0.53467,0.41184,0.4304,0.24888,1.25884,0.92677,1.22909,0.009142,0.009142,0.009142
15,801.631,1.26529,0.94783,1.20585,0.50119,0.48385,0.46458,0.26918,1.24309,0.91413,1.22747,0.009076,0.009076,0.009076
16,850.652,1.24929,0.93187,1.20166,0.65007,0.41023,0.47751,0.28086,1.2099,0.89171,1.20044,0.00901,0.00901,0.00901
17,899.677,1.24313,0.92121,1.19295,0.5114,0.45138,0.481,0.28201,1.19316,0.90569,1.1902,0.008944,0.008944,0.008944
18,948.615,1.20964,0.89062,1.17012,0.50389,0.48919,0.48428,0.28652,1.19119,0.86301,1.19209,0.008878,0.008878,0.008878
19,997.576,1.2143,0.88464,1.1672,0.57886,0.47266,0.49302,0.29484,1.17875,0.85336,1.18763,0.008812,0.008812,0.008812
20,1046.51,1.20059,0.87425,1.16605,0.5645,0.46789,0.50569,0.2952,1.18573,0.84928,1.18943,0.008746,0.008746,0.008746
21,1095.43,1.19951,0.8664,1.16518,0.57099,0.51546,0.54239,0.32211,1.16902,0.82239,1.17561,0.00868,0.00868,0.00868
22,1144.42,1.18916,0.86141,1.16343,0.60898,0.54145,0.56309,0.33279,1.14775,0.8239,1.16886,0.008614,0.008614,0.008614
23,1193.37,1.16794,0.83977,1.14885,0.52676,0.5232,0.53951,0.32107,1.14744,0.81156,1.17108,0.008548,0.008548,0.008548
24,1241.78,1.16692,0.83473,1.1484,0.68922,0.48553,0.56386,0.34094,1.14817,0.79773,1.16377,0.008482,0.008482,0.008482
25,1290.81,1.15642,0.82488,1.13762,0.59711,0.49536,0.55988,0.33279,1.12126,0.80134,1.14952,0.008416,0.008416,0.008416
26,1339.35,1.14473,0.81417,1.13493,0.66639,0.52818,0.58564,0.35167,1.11641,0.77976,1.15577,0.00835,0.00835,0.00835
27,1388.26,1.14505,0.80918,1.13651,0.7535,0.49789,0.60375,0.35458,1.12048,0.76743,1.15036,0.008284,0.008284,0.008284
28,1437.23,1.13568,0.80425,1.13381,0.66015,0.55434,0.60328,0.36744,1.08876,0.7531,1.14037,0.008218,0.008218,0.008218
29,1486.2,1.13134,0.7938,1.128,0.62098,0.57857,0.62828,0.38004,1.07999,0.74412,1.1323,0.008152,0.008152,0.008152
30,1535.23,1.12476,0.78362,1.12237,0.67977,0.58135,0.63751,0.388,1.08475,0.73359,1.13465,0.008086,0.008086,0.008086
