epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4502,2.96964,2.9337,2.91508,0.48783,0.13463,0.1132,0.04745,2.02034,1.99901,2.0273,0.0701596,0.0033156,0.0033156
2,121.59,1.88612,1.63954,1.7153,0.26527,0.25135,0.21013,0.1085,1.66511,1.52644,1.57655,0.0401157,0.00660505,0.00660505
3,165.399,1.72096,1.46054,1.53108,0.43236,0.27222,0.2278,0.11345,1.57377,2.21866,1.50588,0.0100278,0.0098505,0.0098505
4,208.95,1.60145,1.37183,1.43572,0.44221,0.29982,0.27832,0.14266,1.53442,1.44012,1.4477,0.009802,0.009802,0.009802
5,252.615,1.49595,1.25584,1.35774,0.53798,0.25925,0.27331,0.15056,1.48942,1.30906,1.42318,0.009736,0.009736,0.009736
6,296.024,1.43161,1.15329,1.32176,0.50957,0.32778,0.32384,0.17706,1.37671,1.09284,1.33852,0.00967,0.00967,0.00967
7,339.324,1.37335,1.08783,1.28901,0.3897,0.37197,0.33278,0.18,1.39306,1.0881,1.33663,0.009604,0.009604,0.009604
8,382.641,1.33807,1.03437,1.26462,0.50718,0.36668,0.38868,0.2143,1.30675,1.07492,1.29881,0.009538,0.009538,0.009538
9,426.168,1.29801,0.99134,1.24585,0.48929,0.45152,0.43579,0.23054,1.32318,0.97702,1.28564,0.009472,0.009472,0.009472
10,469.472,1.26687,0.95384,1.22441,0.53906,0.45796,0.45961,0.2604,1.26971,0.96511,1.2621,0.009406,0.009406,0.009406
11,512.624,1.25813,0.93277,1.219,0.62721,0.46063,0.50861,0.29604,1.24238,0.8828,1.24513,0.00934,0.00934,0.00934
12,555.789,1.23734,0.90242,1.20225,0.6242,0.48412,0.5314,0.30304,1.19333,0.85733,1.21834,0.009274,0.009274,0.009274
13,598.975,1.21753,0.88176,1.19665,0.60792,0.48105,0.51769,0.30213,1.20485,0.85736,1.22052,0.009208,0.009208,0.009208
14,641.915,1.19377,0.86116,1.18879,0.60207,0.48584,0.53174,0.31657,1.15176,0.84642,1.19301,0.009142,0.009142,0.009142
15,685.123,1.18547,0.84132,1.1793,0.62743,0.51741,0.57443,0.34237,1.15148,0.80481,1.19466,0.009076,0.009076,0.009076
16,728.308,1.17461,0.83356,1.17856,0.69686,0.45956,0.54462,0.32871,1.13835,0.84651,1.18488,0.00901,0.00901,0.00901
17,770.895,1.1668,0.82106,1.1704,0.61998,0.51967,0.56516,0.33301,1.15975,0.79996,1.20182,0.008944,0.008944,0.008944
18,813.685,1.13627,0.79422,1.14791,0.64405,0.52146,0.56631,0.34096,1.12074,0.79887,1.17777,0.008878,0.008878,0.008878
19,856.382,1.14188,0.79096,1.14711,0.64973,0.55353,0.60569,0.36281,1.12598,0.75616,1.16991,0.008812,0.008812,0.008812
20,899.457,1.12638,0.77809,1.14463,0.68667,0.57357,0.62093,0.37074,1.10101,0.74413,1.16499,0.008746,0.008746,0.008746
21,942.694,1.12484,0.77506,1.14118,0.70197,0.56213,0.62302,0.36503,1.10986,0.75433,1.16808,0.00868,0.00868,0.00868
22,985.388,1.11638,0.77183,1.14539,0.71283,0.56698,0.63688,0.38459,1.10638,0.75234,1.16456,0.008614,0.008614,0.008614
23,1028.48,1.09945,0.75185,1.13138,0.69117,0.58221,0.62372,0.37228,1.09026,0.74476,1.1596,0.008548,0.008548,0.008548
24,1071.21,1.09615,0.74587,1.1278,0.73321,0.54798,0.62699,0.3798,1.0779,0.74269,1.15074,0.008482,0.008482,0.008482
25,1113.91,1.08512,0.73229,1.12052,0.73623,0.57449,0.6407,0.38785,1.07615,0.71426,1.14874,0.008416,0.008416,0.008416
26,1156.92,1.07737,0.72421,1.11789,0.71565,0.61047,0.66952,0.41197,1.0638,0.70269,1.14448,0.00835,0.00835,0.00835
27,1200.01,1.07251,0.72545,1.1187,0.68361,0.61328,0.66807,0.40467,1.07427,0.69315,1.14493,0.008284,0.008284,0.008284
28,1242.79,1.06495,0.71626,1.11393,0.70981,0.61531,0.67772,0.42001,1.03317,0.68019,1.12272,0.008218,0.008218,0.008218
29,1285.84,1.06015,0.70552,1.11053,0.74781,0.59647,0.67275,0.41385,1.03245,0.68183,1.12966,0.008152,0.008152,0.008152
30,1328.5,1.05594,0.70176,1.10484,0.75506,0.61593,0.68984,0.43135,1.02886,0.67883,1.12087,0.008086,0.008086,0.008086
31,1371.63,1.0384,0.69485,1.10766,0.80334,0.58652,0.70428,0.44712,1.00825,0.65086,1.11281,0.00802,0.00802,0.00802
32,1414.64,1.03552,0.69072,1.09878,0.73659,0.59473,0.68004,0.43596,1.01203,0.65413,1.11033,0.007954,0.007954,0.007954
33,1457.26,1.02843,0.67718,1.09832,0.77233,0.64312,0.72712,0.46421,0.99772,0.64113,1.1102,0.007888,0.007888,0.007888
34,1500.28,1.01697,0.6698,1.09083,0.76877,0.64173,0.7242,0.46475,0.9874,0.63417,1.10666,0.007822,0.007822,0.007822
35,1543.43,1.01072,0.69278,1.08284,0.7416,0.65339,0.71846,0.45968,0.98903,0.64542,1.10728,0.007756,0.007756,0.007756
36,1586.12,1.0228,0.67184,1.09434,0.79273,0.66139,0.73946,0.48223,0.99008,0.62298,1.0972,0.00769,0.00769,0.00769
37,1629.3,1.01061,0.6607,1.08467,0.76393,0.62555,0.71269,0.4606,0.98254,0.62933,1.09861,0.007624,0.007624,0.007624
38,1672.01,0.99636,0.64839,1.07853,0.79543,0.65306,0.73383,0.47726,0.96769,0.61205,1.09011,0.007558,0.007558,0.007558
39,1714.66,1.00226,0.65236,1.07928,0.75102,0.65928,0.72289,0.47101,0.96156,0.61684,1.08651,0.007492,0.007492,0.007492
40,1757.4,0.9923,0.64453,1.07428,0.81635,0.65182,0.75029,0.48436,0.9657,0.60336,1.08706,0.007426,0.007426,0.007426
41,1800.46,0.97602,0.63498,1.06739,0.7662,0.70317,0.7516,0.49538,0.95658,0.59901,1.0842,0.00736,0.00736,0.00736
42,1843.5,0.98887,0.64153,1.06951,0.7618,0.69024,0.75742,0.50168,0.93971,0.58657,1.074,0.007294,0.007294,0.007294
43,1886.62,0.97626,0.6302,1.06811,0.8436,0.66079,0.77475,0.51219,0.94349,0.58801,1.07851,0.007228,0.007228,0.007228
44,1929.76,0.96379,0.62216,1.0601,0.79283,0.69852,0.76488,0.50325,0.94046,0.5905,1.07502,0.007162,0.007162,0.007162
45,1972.5,0.96937,0.6269,1.06521,0.7887,0.65457,0.75502,0.49647,0.93499,0.5914,1.07179,0.007096,0.007096,0.007096
46,2015.29,0.96492,0.61918,1.06196,0.79036,0.70452,0.77678,0.50807,0.92978,0.57693,1.07131,0.00703,0.00703,0.00703
47,2057.95,0.96492,0.62356,1.0642,0.80697,0.69202,0.77116,0.51771,0.91496,0.57105,1.06394,0.006964,0.006964,0.006964
48,2101.71,0.96023,0.61695,1.05922,0.86354,0.66796,0.78355,0.52678,0.91468,0.57321,1.06181,0.006898,0.006898,0.006898
49,2144.68,0.95829,0.61614,1.05551,0.83341,0.68967,0.78088,0.52691,0.91105,0.56191,1.06128,0.006832,0.006832,0.006832
50,2187.33,0.9444,0.59984,1.05326,0.79563,0.71467,0.77893,0.51895,0.90419,0.56395,1.05496,0.006766,0.006766,0.006766
51,2230.01,0.94335,0.60035,1.04792,0.80787,0.72241,0.797,0.53515,0.89821,0.55322,1.05618,0.0067,0.0067,0.0067
52,2273.07,0.93923,0.6038,1.05248,0.84187,0.69069,0.78747,0.53266,0.89963,0.5589,1.05513,0.006634,0.006634,0.006634
53,2315.65,0.93767,0.59545,1.04291,0.82832,0.70299,0.79457,0.53626,0.89982,0.55356,1.05427,0.006568,0.006568,0.006568
54,2358.73,0.92623,0.59034,1.04323,0.85236,0.69565,0.79122,0.53766,0.89152,0.55092,1.05026,0.006502,0.006502,0.006502
55,2401.76,0.92611,0.58609,1.04341,0.81106,0.72532,0.8014,0.54296,0.88615,0.53973,1.04662,0.006436,0.006436,0.006436
56,2444.78,0.92772,0.59113,1.04547,0.80707,0.69336,0.78434,0.53992,0.88125,0.54011,1.04406,0.00637,0.00637,0.00637
57,2487.39,0.92051,0.58408,1.0396,0.86006,0.70595,0.80591,0.543,0.88055,0.54101,1.04672,0.006304,0.006304,0.006304
58,2530.41,0.91757,0.58515,1.03859,0.84269,0.70834,0.80246,0.55381,0.87189,0.53001,1.03956,0.006238,0.006238,0.006238
59,2573.48,0.90918,0.57315,1.03043,0.83851,0.71522,0.8101,0.55236,0.86536,0.53245,1.0382,0.006172,0.006172,0.006172
60,2616.03,0.91256,0.57455,1.03213,0.80174,0.70947,0.79564,0.54489,0.87851,0.53591,1.04514,0.006106,0.006106,0.006106
61,2658.58,0.90771,0.57315,1.03344,0.85435,0.71374,0.81118,0.56055,0.87138,0.52379,1.03903,0.00604,0.00604,0.00604
62,2701.82,0.90415,0.56879,1.02891,0.85711,0.72281,0.81719,0.54831,0.86436,0.52417,1.0368,0.005974,0.005974,0.005974
