epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6356,3.01283,4.18666,2.21832,0.56121,0.07796,0.05296,0.02399,2.05983,2.23582,1.75505,0.0701596,0.0033156,0.0033156
2,121.744,1.74408,1.87529,1.42234,0.58168,0.17171,0.1641,0.08976,1.62879,1.64735,1.38516,0.0401157,0.00660505,0.00660505
3,167.65,1.57147,1.54163,1.29074,0.4443,0.18972,0.19779,0.1062,1.56469,1.63737,1.35377,0.0100278,0.0098505,0.0098505
4,213.293,1.49526,1.38911,1.2432,0.35192,0.22979,0.18595,0.10282,1.50141,1.42714,1.30413,0.009802,0.009802,0.009802
5,258.646,1.42157,1.26505,1.1977,0.46777,0.32851,0.3014,0.16997,1.42257,1.20951,1.26494,0.009736,0.009736,0.009736
6,304.309,1.36987,1.16244,1.17215,0.56524,0.31149,0.33502,0.19179,1.35573,1.16338,1.21824,0.00967,0.00967,0.00967
7,349.863,1.3205,1.10112,1.14656,0.38815,0.36765,0.34195,0.19375,1.3237,1.11196,1.19678,0.009604,0.009604,0.009604
8,395.121,1.29001,1.05024,1.13044,0.46189,0.42627,0.41463,0.23775,1.26123,0.99159,1.15842,0.009538,0.009538,0.009538
9,440.928,1.26191,1.01145,1.11973,0.51806,0.37497,0.41,0.23282,1.22724,1.12549,1.14768,0.009472,0.009472,0.009472
10,486.196,1.23605,0.97542,1.10354,0.53564,0.41705,0.41204,0.24132,1.25296,0.9879,1.14571,0.009406,0.009406,0.009406
11,531.571,1.23359,0.96121,1.1019,0.5638,0.43358,0.46685,0.27145,1.22154,0.92415,1.13673,0.00934,0.00934,0.00934
12,577.015,1.21315,0.93054,1.08901,0.55542,0.47346,0.48161,0.28243,1.19481,0.90135,1.12355,0.009274,0.009274,0.009274
13,622.519,1.20177,0.91446,1.08578,0.55225,0.48461,0.48646,0.2845,1.1837,0.90632,1.11371,0.009208,0.009208,0.009208
14,667.962,1.17682,0.89236,1.07885,0.63005,0.47678,0.53336,0.31209,1.18542,0.86633,1.11373,0.009142,0.009142,0.009142
15,713.552,1.17069,0.88065,1.07143,0.5622,0.53749,0.53719,0.31909,1.15101,0.89654,1.10086,0.009076,0.009076,0.009076
16,758.934,1.16196,0.86772,1.0707,0.65711,0.45736,0.51219,0.30327,1.17427,0.86052,1.11426,0.00901,0.00901,0.00901
17,804.153,1.15948,0.85937,1.06801,0.67494,0.48374,0.5537,0.33831,1.13888,0.81938,1.09142,0.008944,0.008944,0.008944
18,849.542,1.12878,0.8311,1.04962,0.57673,0.52577,0.55266,0.32977,1.13207,0.8431,1.08707,0.008878,0.008878,0.008878
19,894.518,1.13443,0.82788,1.04921,0.65398,0.53868,0.58268,0.35637,1.10947,0.79439,1.0744,0.008812,0.008812,0.008812
20,939.475,1.12315,0.81581,1.04792,0.61834,0.52627,0.57028,0.34701,1.11485,0.80462,1.08008,0.008746,0.008746,0.008746
21,983.409,1.12879,0.81625,1.04861,0.64,0.54581,0.58929,0.35679,1.1136,0.78767,1.07528,0.00868,0.00868,0.00868
22,1027.6,1.11516,0.81181,1.04678,0.70583,0.53852,0.62173,0.37966,1.095,0.77086,1.06796,0.008614,0.008614,0.008614
23,1071.78,1.09828,0.78986,1.03662,0.65278,0.55413,0.59247,0.37204,1.08609,0.76995,1.06608,0.008548,0.008548,0.008548
24,1115.68,1.09753,0.78677,1.03612,0.67199,0.52892,0.59261,0.36942,1.08126,0.76052,1.05786,0.008482,0.008482,0.008482
25,1159.53,1.08703,0.77578,1.02782,0.69907,0.57559,0.63099,0.39139,1.06952,0.75381,1.05536,0.008416,0.008416,0.008416
26,1203.74,1.08064,0.77061,1.02727,0.7047,0.5794,0.63819,0.39415,1.07997,0.74752,1.06031,0.00835,0.00835,0.00835
27,1247.96,1.07698,0.76572,1.02844,0.70537,0.56171,0.6398,0.39954,1.05389,0.72629,1.0489,0.008284,0.008284,0.008284
28,1292.13,1.0732,0.76098,1.02702,0.68832,0.58796,0.64114,0.40399,1.04509,0.72967,1.04535,0.008218,0.008218,0.008218
29,1336.29,1.06897,0.75481,1.02282,0.72212,0.59214,0.67251,0.42334,1.03545,0.70643,1.04292,0.008152,0.008152,0.008152
30,1380.38,1.06351,0.74792,1.01934,0.7113,0.58431,0.65578,0.40917,1.04262,0.71141,1.04311,0.008086,0.008086,0.008086
31,1424.18,1.05005,0.74013,1.0232,0.74241,0.58036,0.66825,0.4172,1.04753,0.70604,1.04569,0.00802,0.00802,0.00802
32,1467.98,1.04758,0.73574,1.01601,0.68374,0.56516,0.63332,0.39761,1.06712,0.72568,1.04941,0.007954,0.007954,0.007954
33,1511.88,1.04352,0.72666,1.01613,0.6868,0.63118,0.68856,0.43639,1.02036,0.71421,1.03403,0.007888,0.007888,0.007888
34,1556.03,1.03622,0.71969,1.00963,0.73762,0.60984,0.68166,0.43619,1.01799,0.68848,1.03323,0.007822,0.007822,0.007822
35,1599.85,1.02874,0.75207,1.003,0.68562,0.60934,0.67945,0.43124,1.02126,0.689,1.02895,0.007756,0.007756,0.007756
36,1643.63,1.02849,0.71509,1.00718,0.71657,0.65024,0.70006,0.45454,1.0112,0.67129,1.02913,0.00769,0.00769,0.00769
37,1687.86,1.0243,0.70831,1.00319,0.72837,0.62503,0.70302,0.45827,0.995,0.66246,1.02134,0.007624,0.007624,0.007624
38,1732.02,1.01574,0.6997,1.00098,0.7278,0.63269,0.70639,0.45723,1.00119,0.67007,1.0218,0.007558,0.007558,0.007558
39,1775.78,1.02167,0.70409,1.00302,0.75688,0.5955,0.68557,0.44789,0.99628,0.67136,1.0243,0.007492,0.007492,0.007492
40,1819.57,1.00651,0.69444,0.99717,0.73118,0.64957,0.70695,0.46118,0.9854,0.65922,1.01714,0.007426,0.007426,0.007426
41,1863.75,0.99815,0.6851,0.99432,0.76318,0.63076,0.71265,0.46167,0.98274,0.6526,1.01726,0.00736,0.00736,0.00736
42,1907.85,1.00991,0.69048,0.99497,0.72711,0.65015,0.71309,0.46874,0.98151,0.65266,1.01453,0.007294,0.007294,0.007294
43,1951.96,1.00108,0.68453,0.99369,0.75812,0.64031,0.72431,0.4738,0.98259,0.64348,1.01396,0.007228,0.007228,0.007228
44,1996.13,0.99346,0.67682,0.98922,0.75113,0.63479,0.71759,0.47137,0.97984,0.64352,1.0111,0.007162,0.007162,0.007162
45,2039.94,0.99466,0.68045,0.99213,0.78102,0.6231,0.72571,0.47702,0.96602,0.63811,1.00977,0.007096,0.007096,0.007096
46,2084.09,0.98548,0.67094,0.98714,0.73632,0.66512,0.73118,0.48601,0.95753,0.62721,1.00627,0.00703,0.00703,0.00703
47,2128.26,0.99178,0.67664,0.99093,0.77618,0.6594,0.74369,0.49533,0.95342,0.62694,1.00311,0.006964,0.006964,0.006964
48,2172.43,0.98352,0.66702,0.98662,0.76589,0.66465,0.74271,0.49503,0.94319,0.6179,0.9991,0.006898,0.006898,0.006898
49,2216.3,0.98468,0.67032,0.98652,0.81044,0.63818,0.74214,0.4965,0.94333,0.61816,0.99988,0.006832,0.006832,0.006832
50,2260.4,0.96993,0.6544,0.98314,0.80612,0.6615,0.76058,0.50831,0.93332,0.6097,0.99718,0.006766,0.006766,0.006766
51,2304.5,0.96922,0.65255,0.97978,0.7971,0.65579,0.74751,0.50157,0.9303,0.6123,0.99456,0.0067,0.0067,0.0067
52,2348.26,0.96845,0.65322,0.98302,0.79963,0.65963,0.75331,0.50351,0.94174,0.60656,0.9975,0.006634,0.006634,0.006634
53,2392,0.96815,0.64866,0.97798,0.73614,0.67651,0.74764,0.49979,0.93161,0.60067,0.99457,0.006568,0.006568,0.006568
54,2435.74,0.95873,0.64579,0.97821,0.81703,0.63607,0.74116,0.50093,0.92346,0.59875,0.99361,0.006502,0.006502,0.006502
55,2479.49,0.95341,0.64299,0.97818,0.79788,0.67933,0.76806,0.51936,0.90873,0.58577,0.98723,0.006436,0.006436,0.006436
56,2523.5,0.95703,0.64347,0.97876,0.76019,0.68659,0.75875,0.516,0.90875,0.59039,0.98746,0.00637,0.00637,0.00637
57,2567.25,0.95022,0.63589,0.97407,0.79068,0.67814,0.77169,0.52252,0.90815,0.58269,0.98653,0.006304,0.006304,0.006304
58,2611.3,0.94542,0.63567,0.97248,0.81717,0.66162,0.77129,0.52632,0.89897,0.58012,0.97951,0.006238,0.006238,0.006238
59,2655.4,0.94177,0.62836,0.96667,0.79573,0.70144,0.77871,0.52741,0.90011,0.57916,0.98353,0.006172,0.006172,0.006172
60,2699.44,0.94252,0.6261,0.96746,0.81693,0.69322,0.7766,0.52661,0.89531,0.57748,0.98058,0.006106,0.006106,0.006106
61,2743.1,0.94144,0.623,0.96909,0.78778,0.70355,0.77946,0.53005,0.89325,0.57403,0.97901,0.00604,0.00604,0.00604
62,2787.16,0.93342,0.62596,0.96661,0.79444,0.70839,0.78885,0.53248,0.89099,0.57432,0.97761,0.005974,0.005974,0.005974
63,2831.16,0.93892,0.62535,0.97013,0.80607,0.70186,0.78924,0.53639,0.88543,0.5674,0.97576,0.005908,0.005908,0.005908
64,2875.08,0.92871,0.61656,0.96369,0.8072,0.706,0.78789,0.54429,0.88149,0.56558,0.97521,0.005842,0.005842,0.005842
65,2919.01,0.92321,0.61343,0.96149,0.81747,0.68394,0.78219,0.53886,0.88432,0.56745,0.97725,0.005776,0.005776,0.005776
66,2962.69,0.92568,0.61446,0.96446,0.84662,0.6966,0.79706,0.54655,0.87562,0.55369,0.97258,0.00571,0.00571,0.00571
67,3006.65,0.91825,0.6083,0.96091,0.81779,0.69739,0.79386,0.54451,0.87224,0.55383,0.97238,0.005644,0.005644,0.005644
68,3050.26,0.91237,0.60216,0.9596,0.82851,0.69119,0.79276,0.54852,0.87152,0.55348,0.97119,0.005578,0.005578,0.005578
69,3094.31,0.91475,0.60549,0.96,0.7782,0.73388,0.79991,0.55158,0.87074,0.553,0.97028,0.005512,0.005512,0.005512
70,3138.35,0.91556,0.60658,0.96114,0.8011,0.72516,0.79455,0.54947,0.8662,0.54985,0.9696,0.005446,0.005446,0.005446
71,3182.01,0.90672,0.5987,0.95615,0.81947,0.72048,0.80234,0.55879,0.86003,0.54443,0.9659,0.00538,0.00538,0.00538
72,3225.97,0.90633,0.59688,0.95624,0.83961,0.72288,0.81582,0.56118,0.85917,0.54529,0.96497,0.005314,0.005314,0.005314
73,3269.98,0.89844,0.59186,0.95369,0.84292,0.72334,0.81126,0.55975,0.85979,0.54385,0.96732,0.005248,0.005248,0.005248
74,3313.62,0.89489,0.61897,0.9493,0.88096,0.70454,0.8148,0.56687,0.85444,0.53701,0.96613,0.005182,0.005182,0.005182
75,3357.61,0.89794,0.59086,0.95367,0.84093,0.71389,0.81175,0.56629,0.85211,0.53668,0.96405,0.005116,0.005116,0.005116
76,3401.19,0.89864,0.59049,0.95372,0.8315,0.71843,0.81119,0.56333,0.84856,0.53625,0.96138,0.00505,0.00505,0.00505
77,3444.87,0.89384,0.58859,0.95237,0.83366,0.72549,0.81899,0.56984,0.84773,0.53154,0.96166,0.004984,0.004984,0.004984
78,3488.84,0.89113,0.5904,0.94902,0.81933,0.74284,0.81869,0.56643,0.8477,0.53357,0.96062,0.004918,0.004918,0.004918
79,3532.72,0.88475,0.5837,0.94956,0.82226,0.73316,0.81719,0.57157,0.843,0.52911,0.95861,0.004852,0.004852,0.004852
80,3576.7,0.8855,0.5809,0.95002,0.81902,0.74461,0.82281,0.57352,0.84392,0.52915,0.95986,0.004786,0.004786,0.004786
81,3620.69,0.88655,0.58196,0.94775,0.82335,0.73977,0.82534,0.57307,0.83996,0.52534,0.95763,0.00472,0.00472,0.00472
82,3664.42,0.8754,0.57075,0.94667,0.82347,0.75546,0.83246,0.57883,0.83735,0.52447,0.95652,0.004654,0.004654,0.004654
83,3708.37,0.87507,0.57426,0.94339,0.8426,0.74494,0.83429,0.58069,0.83336,0.52078,0.95446,0.004588,0.004588,0.004588
84,3752.32,0.87509,0.57458,0.9457,0.81691,0.7672,0.83051,0.57974,0.82984,0.51882,0.95352,0.004522,0.004522,0.004522
85,3795.9,0.86742,0.56761,0.94158,0.80756,0.76062,0.83593,0.58484,0.83087,0.51773,0.955,0.004456,0.004456,0.004456
