epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9286,1.45575,2.12564,1.15157,0.55716,0.2721,0.26073,0.14778,1.37136,1.24416,1.15372,0.0701596,0.0033156,0.0033156
2,107.053,1.34563,1.28297,1.12103,0.46049,0.36448,0.36627,0.2112,1.27661,1.14363,1.13503,0.0401157,0.00660505,0.00660505
3,146.073,1.35127,1.20849,1.12532,0.41276,0.3191,0.30077,0.16631,1.35127,1.38003,1.18017,0.0100278,0.0098505,0.0098505
4,183.85,1.35526,1.1992,1.13636,0.5293,0.35892,0.38702,0.21176,1.35996,1.14404,1.18086,0.009802,0.009802,0.009802
5,222.148,1.31546,1.11759,1.11776,0.54442,0.44196,0.42952,0.24233,1.28041,1.01411,1.14075,0.009736,0.009736,0.009736
6,260.356,1.27522,1.03775,1.10323,0.52348,0.4266,0.43608,0.24503,1.29034,1.04244,1.14249,0.00967,0.00967,0.00967
7,298.758,1.24241,0.98497,1.08858,0.57051,0.47734,0.51117,0.28507,1.24382,0.94661,1.13075,0.009604,0.009604,0.009604
8,336.675,1.21721,0.93745,1.07634,0.57838,0.46913,0.4964,0.28864,1.20908,0.92178,1.1088,0.009538,0.009538,0.009538
9,375.128,1.19006,0.90751,1.06837,0.55298,0.46507,0.46086,0.26131,1.22264,0.99301,1.09998,0.009472,0.009472,0.009472
10,412.988,1.16279,0.87492,1.05267,0.67483,0.50061,0.57793,0.33599,1.1594,0.83938,1.07673,0.009406,0.009406,0.009406
11,451.056,1.16039,0.85622,1.05066,0.65681,0.57427,0.60946,0.36575,1.13364,0.81779,1.06801,0.00934,0.00934,0.00934
12,489.315,1.14306,0.83849,1.04226,0.66398,0.57043,0.61704,0.37824,1.11337,0.78541,1.05977,0.009274,0.009274,0.009274
13,527.662,1.12889,0.81875,1.0401,0.70721,0.57378,0.6295,0.3792,1.11088,0.78638,1.05736,0.009208,0.009208,0.009208
14,565.831,1.10374,0.79346,1.03435,0.72361,0.56405,0.63274,0.37945,1.10077,0.77473,1.05686,0.009142,0.009142,0.009142
15,604.156,1.09817,0.78052,1.02704,0.75428,0.58595,0.66893,0.41235,1.05576,0.74638,1.03837,0.009076,0.009076,0.009076
16,642.033,1.08781,0.77108,1.02559,0.67183,0.60611,0.66734,0.41399,1.08235,0.77738,1.04608,0.00901,0.00901,0.00901
17,680.765,1.08159,0.76364,1.02221,0.72194,0.61206,0.67543,0.41621,1.07196,0.72809,1.04299,0.008944,0.008944,0.008944
18,718.94,1.05797,0.74061,1.00982,0.73717,0.59603,0.66262,0.41109,1.06353,0.73913,1.03856,0.008878,0.008878,0.008878
19,756.815,1.06195,0.73414,1.00853,0.74304,0.61662,0.69467,0.44136,1.03429,0.6974,1.02776,0.008812,0.008812,0.008812
20,795.155,1.05001,0.72365,1.00631,0.7709,0.63645,0.70917,0.45251,1.022,0.69372,1.02532,0.008746,0.008746,0.008746
21,833.303,1.04849,0.72149,1.00449,0.72735,0.66108,0.70693,0.44566,1.01731,0.6873,1.01802,0.00868,0.00868,0.00868
22,871.201,1.0392,0.7158,1.00453,0.75639,0.66261,0.72729,0.46408,1.00569,0.68913,1.01238,0.008614,0.008614,0.008614
23,909.533,1.02347,0.70026,0.9951,0.77298,0.65091,0.72927,0.46587,1.00394,0.67664,1.01817,0.008548,0.008548,0.008548
24,948.007,1.02161,0.69815,0.99546,0.76682,0.61553,0.71784,0.46043,0.99889,0.6713,1.01279,0.008482,0.008482,0.008482
25,985.372,1.01184,0.68732,0.98782,0.77074,0.6587,0.74089,0.47371,0.99649,0.65637,1.01298,0.008416,0.008416,0.008416
26,1023.85,1.00528,0.67969,0.98821,0.76113,0.65587,0.73177,0.4638,1.01455,0.64998,1.01782,0.00835,0.00835,0.00835
27,1061.83,0.99799,0.67781,0.98791,0.76607,0.66859,0.74742,0.47822,0.99573,0.67142,1.01749,0.008284,0.008284,0.008284
