epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6713,3.48012,3.64691,3.27088,0.67287,0.03906,0.03627,0.01155,2.89243,2.50708,2.66907,0.0701596,0.0033156,0.0033156
2,124.563,2.27596,2.11705,1.96276,0.59413,0.11122,0.10605,0.04642,2.00879,1.87044,1.82109,0.0401157,0.00660505,0.00660505
3,175.668,2.00364,1.84107,1.73326,0.55466,0.1385,0.11774,0.05562,1.871,1.81844,1.71316,0.0100278,0.0098505,0.0098505
4,226.974,1.79228,1.62101,1.56104,0.35474,0.20578,0.17004,0.08501,1.6168,1.82545,1.49771,0.009802,0.009802,0.009802
5,277.924,1.6447,1.43527,1.43995,0.34216,0.25607,0.20978,0.10984,1.62478,1.38751,1.48183,0.009736,0.009736,0.009736
6,328.958,1.55199,1.31052,1.37999,0.41555,0.2571,0.22584,0.12022,1.49218,1.25833,1.38503,0.00967,0.00967,0.00967
7,379.841,1.47594,1.22644,1.33201,0.40375,0.31982,0.29105,0.15798,1.44385,1.17438,1.3482,0.009604,0.009604,0.009604
8,430.636,1.4246,1.15664,1.29696,0.4921,0.32407,0.31863,0.17611,1.35743,1.0952,1.3,0.009538,0.009538,0.009538
9,481.432,1.37569,1.11304,1.27096,0.40395,0.3665,0.3526,0.1938,1.36749,1.03718,1.28735,0.009472,0.009472,0.009472
10,532.109,1.3406,1.06516,1.24315,0.65888,0.31419,0.36095,0.20472,1.32902,1.0369,1.27453,0.009406,0.009406,0.009406
11,582.634,1.33279,1.04326,1.2386,0.46275,0.36164,0.37086,0.20788,1.28462,1.00923,1.2442,0.00934,0.00934,0.00934
12,633.326,1.30678,1.00768,1.22101,0.43015,0.37468,0.36557,0.20161,1.33052,1.06557,1.27015,0.009274,0.009274,0.009274
13,683.529,1.28522,0.98928,1.21418,0.4981,0.40956,0.40801,0.23458,1.25308,0.93105,1.22373,0.009208,0.009208,0.009208
14,734.214,1.25667,0.9543,1.20204,0.53109,0.39384,0.41825,0.24256,1.21021,0.90728,1.20046,0.009142,0.009142,0.009142
15,784.564,1.24611,0.94148,1.19341,0.61373,0.44516,0.47371,0.27212,1.20644,0.89125,1.20166,0.009076,0.009076,0.009076
16,835.229,1.23296,0.9285,1.18873,0.55683,0.43359,0.4524,0.26058,1.21154,0.91295,1.20358,0.00901,0.00901,0.00901
17,885.269,1.23173,0.92488,1.18582,0.60998,0.45208,0.49031,0.28522,1.18524,0.86771,1.18345,0.008944,0.008944,0.008944
18,935.717,1.19543,0.88491,1.1598,0.52609,0.45196,0.46959,0.2759,1.18255,0.8581,1.17894,0.008878,0.008878,0.008878
19,985.611,1.20322,0.88387,1.15911,0.61162,0.48596,0.5129,0.30051,1.15996,0.83534,1.16999,0.008812,0.008812,0.008812
20,1035.85,1.19034,0.87218,1.15793,0.62127,0.48662,0.52356,0.30516,1.14888,0.82709,1.16265,0.008746,0.008746,0.008746
21,1086.58,1.18702,0.8626,1.15344,0.61357,0.45813,0.49572,0.29581,1.18541,0.85715,1.17913,0.00868,0.00868,0.00868
22,1136.56,1.17785,0.85762,1.15297,0.63677,0.49177,0.54447,0.32134,1.13377,0.82403,1.15737,0.008614,0.008614,0.008614
23,1186.94,1.15979,0.8423,1.14014,0.60003,0.51443,0.53967,0.32209,1.12131,0.79666,1.14988,0.008548,0.008548,0.008548
24,1237.41,1.15627,0.8364,1.13666,0.65042,0.52799,0.56945,0.33826,1.11716,0.78606,1.14893,0.008482,0.008482,0.008482
25,1287.67,1.14284,0.82407,1.12849,0.63454,0.49185,0.54484,0.32988,1.13191,0.80416,1.15403,0.008416,0.008416,0.008416
26,1338.15,1.14115,0.82025,1.12978,0.66494,0.50304,0.57388,0.34421,1.109,0.78086,1.1424,0.00835,0.00835,0.00835
27,1388.91,1.13575,0.81562,1.12854,0.62488,0.52822,0.56357,0.33852,1.11693,0.77688,1.14316,0.008284,0.008284,0.008284
28,1438.94,1.12816,0.80881,1.12428,0.62952,0.53291,0.56647,0.34908,1.09548,0.76307,1.13565,0.008218,0.008218,0.008218
29,1489.31,1.12737,0.80088,1.12213,0.6471,0.5305,0.5762,0.3451,1.1074,0.77286,1.13549,0.008152,0.008152,0.008152
30,1539.28,1.12411,0.79231,1.11794,0.68691,0.5451,0.61208,0.3694,1.08236,0.73951,1.12758,0.008086,0.008086,0.008086
31,1589.6,1.11267,0.79293,1.12222,0.65071,0.52021,0.58693,0.35897,1.09272,0.7504,1.12619,0.00802,0.00802,0.00802
32,1639.74,1.10381,0.78192,1.10993,0.67702,0.53426,0.596,0.36719,1.06329,0.73822,1.11573,0.007954,0.007954,0.007954
33,1689.74,1.09919,0.77049,1.11112,0.68726,0.55563,0.62007,0.37923,1.06416,0.73638,1.1143,0.007888,0.007888,0.007888
34,1740.2,1.09036,0.76323,1.10257,0.68935,0.56837,0.62371,0.38081,1.05573,0.72298,1.11006,0.007822,0.007822,0.007822
35,1791.01,1.07999,0.77231,1.09242,0.6974,0.55206,0.61069,0.37113,1.05787,0.71857,1.11224,0.007756,0.007756,0.007756
36,1840.79,1.09096,0.7623,1.10294,0.71505,0.56334,0.62982,0.38753,1.07168,0.71481,1.11246,0.00769,0.00769,0.00769
37,1891.32,1.08812,0.7567,1.09922,0.7278,0.56016,0.63437,0.3927,1.05141,0.70889,1.10525,0.007624,0.007624,0.007624
38,1941.73,1.06965,0.74333,1.0924,0.66584,0.56875,0.63061,0.38933,1.05181,0.7062,1.1067,0.007558,0.007558,0.007558
39,1991.61,1.07365,0.74504,1.09175,0.65926,0.57334,0.6282,0.39257,1.03431,0.69688,1.09944,0.007492,0.007492,0.007492
40,2041.43,1.0627,0.73708,1.08734,0.7073,0.58545,0.65485,0.4126,1.03585,0.68991,1.09857,0.007426,0.007426,0.007426
41,2091.83,1.05149,0.73022,1.08287,0.74934,0.5567,0.64425,0.39839,1.04059,0.69604,1.10161,0.00736,0.00736,0.00736
42,2141.84,1.06632,0.73572,1.08533,0.70725,0.59083,0.65407,0.41022,1.03492,0.68508,1.09824,0.007294,0.007294,0.007294
43,2191.91,1.05352,0.72538,1.08476,0.71464,0.5729,0.65614,0.41085,1.02338,0.68274,1.09401,0.007228,0.007228,0.007228
44,2242.12,1.04758,0.71796,1.07859,0.69805,0.59746,0.65943,0.41527,1.01905,0.67683,1.089,0.007162,0.007162,0.007162
45,2292.77,1.04745,0.72318,1.08049,0.75328,0.60494,0.67325,0.42269,1.01261,0.66314,1.08858,0.007096,0.007096,0.007096
46,2343.24,1.03835,0.71087,1.0727,0.76532,0.60818,0.68142,0.42325,1.0138,0.6626,1.0888,0.00703,0.00703,0.00703
47,2393.73,1.04639,0.72036,1.08228,0.82815,0.58507,0.68494,0.43477,0.99855,0.65642,1.08019,0.006964,0.006964,0.006964
48,2444.15,1.03731,0.71153,1.07307,0.74314,0.61312,0.68688,0.4386,0.99728,0.65446,1.07846,0.006898,0.006898,0.006898
49,2494.6,1.03765,0.70924,1.0737,0.78056,0.58309,0.67451,0.43199,0.99934,0.65318,1.07984,0.006832,0.006832,0.006832
50,2544.53,1.02673,0.69367,1.06994,0.72116,0.61846,0.68158,0.43942,0.98537,0.64363,1.07446,0.006766,0.006766,0.006766
51,2594.93,1.02358,0.69299,1.06519,0.74228,0.61742,0.6806,0.44025,0.98301,0.64333,1.07131,0.0067,0.0067,0.0067
52,2645.27,1.02174,0.69501,1.07011,0.7007,0.60546,0.67047,0.43242,0.98775,0.64434,1.07357,0.006634,0.006634,0.006634
53,2695.23,1.02323,0.68872,1.06232,0.72374,0.61281,0.68623,0.43761,0.98006,0.63831,1.07018,0.006568,0.006568,0.006568
54,2745.16,1.00867,0.68735,1.06141,0.7361,0.61061,0.69291,0.44435,0.97206,0.63874,1.06605,0.006502,0.006502,0.006502
55,2795.55,1.00754,0.68343,1.06133,0.72951,0.62601,0.69576,0.44454,0.96845,0.62713,1.06295,0.006436,0.006436,0.006436
56,2845.73,1.00893,0.68127,1.06358,0.7596,0.62263,0.70326,0.45839,0.95931,0.62094,1.05875,0.00637,0.00637,0.00637
57,2896.31,1.00356,0.67592,1.05803,0.71052,0.63433,0.70026,0.45408,0.95705,0.61809,1.05788,0.006304,0.006304,0.006304
58,2946.27,0.99797,0.67501,1.05445,0.78797,0.62738,0.71399,0.46126,0.96102,0.61533,1.05662,0.006238,0.006238,0.006238
59,2996.7,0.99551,0.66445,1.04983,0.79461,0.60182,0.70557,0.46135,0.95832,0.61182,1.05642,0.006172,0.006172,0.006172
60,3046.73,0.99481,0.66537,1.05003,0.76962,0.61747,0.71174,0.45941,0.95211,0.61265,1.05607,0.006106,0.006106,0.006106
61,3096.95,0.99093,0.65983,1.05132,0.74569,0.63676,0.70866,0.45829,0.95698,0.61051,1.05676,0.00604,0.00604,0.00604
62,3146.96,0.98675,0.66802,1.04692,0.76242,0.62624,0.71766,0.46887,0.93847,0.60531,1.04769,0.005974,0.005974,0.005974
63,3197.42,0.9927,0.66221,1.05176,0.77695,0.64576,0.72473,0.476,0.94067,0.60456,1.04903,0.005908,0.005908,0.005908
64,3247.81,0.98335,0.6566,1.04463,0.77798,0.64221,0.72469,0.47405,0.93913,0.60038,1.05011,0.005842,0.005842,0.005842
65,3297.67,0.97447,0.64859,1.04134,0.76815,0.63885,0.7172,0.47092,0.9357,0.60006,1.04807,0.005776,0.005776,0.005776
66,3347.53,0.97963,0.65303,1.04275,0.78681,0.62963,0.72335,0.47938,0.93261,0.59183,1.04454,0.00571,0.00571,0.00571
67,3397.94,0.972,0.64571,1.03997,0.77039,0.63714,0.72498,0.48102,0.92694,0.58849,1.04226,0.005644,0.005644,0.005644
68,3448.35,0.9663,0.64184,1.03898,0.79423,0.62785,0.72812,0.47893,0.92784,0.58711,1.04134,0.005578,0.005578,0.005578
69,3498.32,0.96663,0.64135,1.03838,0.79534,0.65786,0.74642,0.49346,0.91813,0.58497,1.0391,0.005512,0.005512,0.005512
70,3548.72,0.97007,0.64422,1.03998,0.78249,0.64954,0.72821,0.48784,0.91735,0.58091,1.03905,0.005446,0.005446,0.005446
71,3598.53,0.95837,0.63482,1.03324,0.75137,0.66013,0.73269,0.48954,0.91711,0.5782,1.0369,0.00538,0.00538,0.00538
72,3648.55,0.96281,0.6341,1.03483,0.80426,0.63343,0.73525,0.483,0.92206,0.57982,1.04114,0.005314,0.005314,0.005314
73,3698.53,0.95439,0.62755,1.0305,0.80902,0.64649,0.73705,0.49182,0.91047,0.57111,1.03456,0.005248,0.005248,0.005248
74,3748.29,0.94978,0.64802,1.02698,0.79606,0.64541,0.73737,0.49043,0.91391,0.57196,1.03547,0.005182,0.005182,0.005182
75,3798.27,0.95076,0.62624,1.03193,0.78864,0.63473,0.73273,0.48543,0.91028,0.57257,1.03372,0.005116,0.005116,0.005116
76,3848.29,0.95424,0.62886,1.03127,0.77257,0.64784,0.74314,0.49254,0.9066,0.56923,1.03188,0.00505,0.00505,0.00505
77,3898.29,0.94841,0.62397,1.02783,0.77465,0.64909,0.73183,0.4902,0.90265,0.56423,1.03149,0.004984,0.004984,0.004984
78,3948.72,0.94841,0.6296,1.02905,0.793,0.66344,0.74904,0.49936,0.89909,0.5664,1.03039,0.004918,0.004918,0.004918
79,3999.07,0.94333,0.61969,1.02663,0.81866,0.6451,0.74973,0.50187,0.89697,0.56157,1.02853,0.004852,0.004852,0.004852
80,4049.67,0.9443,0.62085,1.03022,0.81516,0.6559,0.74526,0.49949,0.89784,0.56165,1.02941,0.004786,0.004786,0.004786
81,4099.64,0.94458,0.61885,1.025,0.79389,0.66634,0.75408,0.50289,0.89537,0.55892,1.02712,0.00472,0.00472,0.00472
82,4149.99,0.93268,0.60892,1.02349,0.8122,0.64943,0.75142,0.50758,0.89112,0.55561,1.02518,0.004654,0.004654,0.004654
83,4200.53,0.93353,0.61228,1.01976,0.85333,0.63775,0.75854,0.50991,0.88948,0.55557,1.02477,0.004588,0.004588,0.004588
84,4250.85,0.93414,0.6125,1.02215,0.83055,0.66547,0.75866,0.51033,0.88782,0.55478,1.02426,0.004522,0.004522,0.004522
85,4301.12,0.9235,0.6066,1.01779,0.80569,0.665,0.76005,0.51198,0.88721,0.55083,1.02368,0.004456,0.004456,0.004456
86,4351.5,0.92562,0.60502,1.02196,0.80814,0.67845,0.76567,0.51416,0.88188,0.54951,1.02102,0.00439,0.00439,0.00439
87,4401.94,0.92244,0.60419,1.01975,0.81582,0.67641,0.76441,0.51332,0.88035,0.54424,1.0206,0.004324,0.004324,0.004324
88,4452,0.91967,0.59927,1.01514,0.81081,0.69044,0.77227,0.51813,0.8804,0.54636,1.02046,0.004258,0.004258,0.004258
89,4502.41,0.91853,0.5989,1.01669,0.80599,0.67199,0.76078,0.5191,0.87881,0.54344,1.02065,0.004192,0.004192,0.004192
90,4552.31,0.9218,0.59925,1.01832,0.81804,0.68085,0.76691,0.52562,0.87349,0.54231,1.01747,0.004126,0.004126,0.004126
91,4602.9,0.91835,0.59752,1.01505,0.80338,0.66217,0.76598,0.5193,0.87258,0.53969,1.01694,0.00406,0.00406,0.00406
92,4653.01,0.9065,0.59222,1.01508,0.8078,0.65938,0.76383,0.52134,0.86907,0.5378,1.01475,0.003994,0.003994,0.003994
93,4702.88,0.91122,0.59224,1.00849,0.85123,0.64752,0.76748,0.52093,0.86477,0.53504,1.01286,0.003928,0.003928,0.003928
94,4752.82,0.90281,0.58731,1.00694,0.80577,0.6781,0.76762,0.52455,0.86629,0.53413,1.01346,0.003862,0.003862,0.003862
