epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.718,3.0144,2.98972,3.00918,0.61579,0.11661,0.09989,0.04235,2.07791,2.2073,2.11866,0.0701596,0.0033156,0.0033156
2,111.91,1.96979,1.73704,1.80274,0.67738,0.14491,0.14476,0.07265,1.69913,1.53794,1.66159,0.0401157,0.00660505,0.00660505
3,157.122,1.7795,1.56229,1.60825,0.44902,0.24222,0.18741,0.09805,1.66605,1.55699,1.62723,0.0100278,0.0098505,0.0098505
4,202.486,1.63816,1.43095,1.48675,0.37953,0.26774,0.21166,0.10639,1.54186,1.54357,1.49857,0.009802,0.009802,0.009802
5,251.615,1.523,1.29318,1.39891,0.3251,0.26585,0.24885,0.13225,1.50678,1.19156,1.46862,0.009736,0.009736,0.009736
6,300.991,1.44781,1.18436,1.35417,0.63072,0.2848,0.30681,0.17183,1.37171,1.11329,1.3556,0.00967,0.00967,0.00967
7,348.559,1.39498,1.1157,1.31841,0.46735,0.30769,0.31181,0.1666,1.38798,1.10343,1.36507,0.009604,0.009604,0.009604
8,395.181,1.35441,1.05685,1.29209,0.39588,0.32566,0.35471,0.20665,1.31858,1.00272,1.33941,0.009538,0.009538,0.009538
9,439.662,1.31005,1.01512,1.2679,0.61811,0.39362,0.41469,0.23837,1.28876,0.95587,1.29949,0.009472,0.009472,0.009472
10,484.03,1.28204,0.97713,1.24825,0.6512,0.39244,0.44124,0.25777,1.22255,0.92143,1.26554,0.009406,0.009406,0.009406
11,528.56,1.27405,0.95752,1.24163,0.60845,0.43059,0.44844,0.26219,1.20574,0.91163,1.25377,0.00934,0.00934,0.00934
12,573.031,1.2483,0.92427,1.22185,0.54656,0.44325,0.46067,0.25757,1.25248,0.89079,1.2753,0.009274,0.009274,0.009274
13,616.848,1.22954,0.90352,1.21598,0.42522,0.50047,0.44876,0.25925,1.20216,0.90054,1.25141,0.009208,0.009208,0.009208
14,661.097,1.20813,0.87891,1.21016,0.542,0.47465,0.49124,0.28407,1.18823,0.84169,1.2403,0.009142,0.009142,0.009142
15,705.463,1.20254,0.86061,1.20225,0.61803,0.48602,0.51679,0.29857,1.18306,0.87609,1.23294,0.009076,0.009076,0.009076
16,749.782,1.18588,0.85,1.19599,0.62459,0.5091,0.54647,0.32378,1.13787,0.82278,1.20882,0.00901,0.00901,0.00901
17,794.134,1.18304,0.837,1.19186,0.62536,0.47991,0.53997,0.3154,1.15072,0.791,1.21376,0.008944,0.008944,0.008944
18,837.863,1.15051,0.81262,1.16644,0.60674,0.53447,0.56135,0.3282,1.1375,0.77641,1.204,0.008878,0.008878,0.008878
19,882.01,1.16092,0.81268,1.16886,0.57974,0.51303,0.53529,0.31788,1.12798,0.78942,1.20214,0.008812,0.008812,0.008812
