epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.554,3.57451,3.58402,3.25763,0.674,0.05038,0.04573,0.01541,2.5796,2.27599,2.37223,0.0701596,0.0033156,0.0033156
2,114.341,2.26645,2.08873,1.9427,0.47527,0.09955,0.09505,0.04179,2.0237,1.99043,1.8148,0.0401157,0.00660505,0.00660505
3,160.666,1.99059,1.82715,1.71194,0.50979,0.16,0.12295,0.05676,1.88248,1.69724,1.69111,0.0100278,0.0098505,0.0098505
4,206.783,1.78654,1.60951,1.53258,0.49106,0.17831,0.1794,0.09042,1.68855,1.51631,1.50119,0.009802,0.009802,0.009802
5,252.722,1.636,1.4254,1.41723,0.33613,0.22882,0.20538,0.10824,1.62239,1.37309,1.45851,0.009736,0.009736,0.009736
6,298.709,1.55705,1.29714,1.364,0.43651,0.25918,0.25745,0.13968,1.45241,1.19846,1.34003,0.00967,0.00967,0.00967
7,344.885,1.48251,1.21827,1.31809,0.39158,0.28825,0.2607,0.14387,1.43372,1.16092,1.32698,0.009604,0.009604,0.009604
8,391.085,1.42818,1.15836,1.2835,0.58266,0.33535,0.32135,0.17491,1.36627,1.10936,1.29227,0.009538,0.009538,0.009538
9,437.183,1.38051,1.10769,1.25948,0.37965,0.32568,0.3317,0.18252,1.33481,1.03354,1.26546,0.009472,0.009472,0.009472
10,483.413,1.34907,1.06343,1.2357,0.46119,0.35688,0.33862,0.19215,1.314,1.02108,1.24932,0.009406,0.009406,0.009406
11,529.573,1.33118,1.04048,1.22564,0.41098,0.36965,0.36608,0.20805,1.27788,1.02372,1.23067,0.00934,0.00934,0.00934
12,575.701,1.30943,1.01361,1.20883,0.42548,0.4042,0.38428,0.21365,1.31095,1.01018,1.24531,0.009274,0.009274,0.009274
13,621.759,1.28941,0.99039,1.20194,0.56143,0.42441,0.40793,0.23222,1.26728,0.94291,1.21548,0.009208,0.009208,0.009208
14,667.848,1.25991,0.96113,1.19038,0.55335,0.40685,0.39197,0.22444,1.24543,0.96746,1.21063,0.009142,0.009142,0.009142
15,713.509,1.25105,0.94843,1.18162,0.64128,0.44845,0.48709,0.27963,1.209,0.88814,1.18986,0.009076,0.009076,0.009076
16,759.638,1.23564,0.93244,1.17724,0.61924,0.39534,0.42549,0.24701,1.2105,0.95086,1.19261,0.00901,0.00901,0.00901
17,805.275,1.23304,0.92299,1.17339,0.65525,0.42756,0.4951,0.28223,1.18332,0.88722,1.17463,0.008944,0.008944,0.008944
18,851.351,1.19979,0.88693,1.15025,0.61925,0.43346,0.47644,0.27657,1.1842,0.86398,1.17367,0.008878,0.008878,0.008878
19,896.833,1.20307,0.88727,1.14784,0.55546,0.49852,0.51,0.29544,1.16453,0.85729,1.16288,0.008812,0.008812,0.008812
20,942.716,1.19179,0.87546,1.14688,0.56422,0.47025,0.51472,0.29682,1.1795,0.84068,1.16739,0.008746,0.008746,0.008746
21,988.633,1.18814,0.86847,1.14399,0.65436,0.43697,0.49934,0.29865,1.19669,0.84905,1.17805,0.00868,0.00868,0.00868
22,1034.56,1.17945,0.86298,1.14146,0.60187,0.5143,0.5484,0.3235,1.13954,0.83448,1.14355,0.008614,0.008614,0.008614
23,1080.47,1.16369,0.84409,1.13111,0.60771,0.52993,0.57771,0.34329,1.14478,0.80208,1.15466,0.008548,0.008548,0.008548
24,1126.3,1.15882,0.83957,1.12671,0.67153,0.48068,0.55479,0.32854,1.14426,0.80686,1.15346,0.008482,0.008482,0.008482
25,1171.73,1.14446,0.83016,1.11896,0.60699,0.51426,0.55412,0.33369,1.1224,0.80268,1.13597,0.008416,0.008416,0.008416
26,1217.29,1.14463,0.82283,1.1189,0.5899,0.54046,0.56967,0.33944,1.11902,0.78322,1.13636,0.00835,0.00835,0.00835
27,1262.77,1.1369,0.81488,1.1191,0.71392,0.47766,0.56879,0.34733,1.11331,0.76772,1.13348,0.008284,0.008284,0.008284
28,1308.61,1.13245,0.8139,1.11639,0.61486,0.53146,0.58741,0.35578,1.09183,0.75844,1.1216,0.008218,0.008218,0.008218
29,1354.58,1.12856,0.80285,1.11127,0.66412,0.49333,0.58604,0.35371,1.09116,0.75594,1.12288,0.008152,0.008152,0.008152
30,1400.06,1.12004,0.79423,1.10539,0.68896,0.5045,0.60287,0.36561,1.08781,0.74917,1.1181,0.008086,0.008086,0.008086
31,1446,1.11279,0.79868,1.11295,0.69123,0.55012,0.61758,0.36955,1.08503,0.75235,1.1229,0.00802,0.00802,0.00802
32,1491.83,1.1046,0.78203,1.10266,0.66582,0.55421,0.61629,0.38077,1.07475,0.73436,1.11241,0.007954,0.007954,0.007954
33,1537.71,1.10017,0.7771,1.10422,0.67505,0.57293,0.62478,0.38465,1.07377,0.721,1.1106,0.007888,0.007888,0.007888
34,1583.71,1.09278,0.76702,1.09606,0.6861,0.58318,0.63674,0.38848,1.0532,0.72194,1.10262,0.007822,0.007822,0.007822
35,1629.73,1.08015,0.77355,1.08479,0.66871,0.57868,0.62215,0.37827,1.0561,0.72203,1.10321,0.007756,0.007756,0.007756
36,1675.38,1.09121,0.77212,1.09603,0.74816,0.56019,0.65192,0.39597,1.0757,0.71834,1.10918,0.00769,0.00769,0.00769
37,1721.36,1.0849,0.75637,1.08978,0.68131,0.56768,0.62109,0.38514,1.05881,0.72572,1.1033,0.007624,0.007624,0.007624
38,1766.97,1.07157,0.74539,1.08514,0.6888,0.59068,0.64768,0.39939,1.05404,0.70953,1.10052,0.007558,0.007558,0.007558
39,1812.95,1.07949,0.75225,1.08449,0.69535,0.58721,0.64056,0.39925,1.04937,0.7132,1.09471,0.007492,0.007492,0.007492
40,1858.5,1.06555,0.7397,1.08103,0.67207,0.60931,0.65988,0.41039,1.03612,0.69121,1.0915,0.007426,0.007426,0.007426
41,1904.47,1.05716,0.73157,1.07659,0.69425,0.59408,0.64853,0.40449,1.03906,0.69846,1.08984,0.00736,0.00736,0.00736
42,1950.21,1.07463,0.75149,1.08038,0.7082,0.5919,0.65832,0.41871,1.02921,0.68604,1.08837,0.007294,0.007294,0.007294
43,1996.18,1.05695,0.73027,1.07753,0.69337,0.5903,0.6582,0.42181,1.01868,0.68225,1.08249,0.007228,0.007228,0.007228
44,2042.06,1.04604,0.71896,1.06867,0.69528,0.60987,0.66046,0.41708,1.0182,0.68723,1.07899,0.007162,0.007162,0.007162
45,2087.65,1.05297,0.72465,1.07477,0.72848,0.60257,0.66271,0.41588,1.02335,0.67864,1.08687,0.007096,0.007096,0.007096
46,2133.15,1.04096,0.71239,1.06795,0.70882,0.60301,0.66305,0.41556,1.03553,0.69002,1.09056,0.00703,0.00703,0.00703
47,2178.58,1.04897,0.7213,1.07399,0.75855,0.59226,0.66938,0.42527,1.00359,0.6644,1.07452,0.006964,0.006964,0.006964
48,2224.55,1.03805,0.71617,1.06554,0.71537,0.61938,0.67955,0.43361,1.004,0.67021,1.07374,0.006898,0.006898,0.006898
49,2270.7,1.04178,0.71192,1.06738,0.75248,0.58863,0.67189,0.43384,0.99974,0.66211,1.07255,0.006832,0.006832,0.006832
