epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2542,3.06546,3.02574,2.99083,0.70411,0.08035,0.07348,0.02939,2.2029,2.70205,2.13243,0.0701596,0.0033156,0.0033156
2,101.729,1.99315,1.75727,1.78947,0.63959,0.13464,0.13866,0.07188,1.68303,1.90343,1.59432,0.0401157,0.00660505,0.00660505
3,142.048,1.76801,1.5694,1.5522,0.34687,0.21463,0.19079,0.09606,1.67625,1.93351,1.54657,0.0100278,0.0098505,0.0098505
4,182.137,1.63041,1.42096,1.44294,0.32676,0.23166,0.18737,0.09998,1.56317,1.49069,1.46976,0.009802,0.009802,0.009802
5,221.656,1.51131,1.2793,1.36147,0.47321,0.31538,0.29426,0.15303,1.4917,1.16041,1.40073,0.009736,0.009736,0.009736
6,261.855,1.44649,1.17075,1.32221,0.46576,0.31762,0.2795,0.14837,1.43031,1.1325,1.35391,0.00967,0.00967,0.00967
7,301.523,1.39412,1.11363,1.2954,0.50074,0.34932,0.34313,0.18846,1.33184,1.0385,1.30592,0.009604,0.009604,0.009604
8,341.441,1.35164,1.05372,1.26644,0.50172,0.39399,0.37669,0.20939,1.29618,1.00828,1.28321,0.009538,0.009538,0.009538
9,381.269,1.31129,1.01294,1.24835,0.62124,0.37131,0.40263,0.2254,1.29808,0.98781,1.27733,0.009472,0.009472,0.009472
10,421.066,1.27482,0.97603,1.22375,0.65071,0.39663,0.4271,0.24884,1.23493,0.93423,1.24493,0.009406,0.009406,0.009406
11,460.992,1.27142,0.95945,1.22341,0.5918,0.42185,0.3982,0.23263,1.22919,0.93743,1.24258,0.00934,0.00934,0.00934
12,500.74,1.24459,0.92574,1.20436,0.59497,0.44943,0.46676,0.26387,1.20222,0.90497,1.21847,0.009274,0.009274,0.009274
13,540.934,1.22629,0.90523,1.19735,0.63952,0.41589,0.42436,0.24655,1.2139,0.89946,1.22058,0.009208,0.009208,0.009208
14,580.479,1.20307,0.87915,1.19039,0.71595,0.418,0.48554,0.29121,1.17531,0.83549,1.2032,0.009142,0.009142,0.009142
15,620.646,1.19509,0.86279,1.18348,0.56035,0.48426,0.49352,0.29365,1.17165,0.85132,1.20198,0.009076,0.009076,0.009076
16,660.447,1.18156,0.85321,1.17811,0.67463,0.45167,0.51628,0.30711,1.17641,0.86281,1.21287,0.00901,0.00901,0.00901
17,700.781,1.17907,0.84086,1.17493,0.69977,0.43517,0.5144,0.3006,1.15724,0.82687,1.19683,0.008944,0.008944,0.008944
18,740.101,1.14957,0.81082,1.15184,0.5881,0.49636,0.52181,0.31709,1.12591,0.80621,1.17668,0.008878,0.008878,0.008878
19,780.187,1.1513,0.80838,1.15087,0.58,0.51409,0.55583,0.34094,1.1089,0.79049,1.17167,0.008812,0.008812,0.008812
20,820.26,1.13779,0.79604,1.15061,0.61439,0.50557,0.55692,0.32882,1.12661,0.79457,1.17346,0.008746,0.008746,0.008746
21,859.285,1.13654,0.79243,1.14785,0.54903,0.54245,0.52775,0.3186,1.13975,0.81243,1.18489,0.00868,0.00868,0.00868
22,898.898,1.12527,0.78714,1.14928,0.65629,0.53249,0.58659,0.3545,1.08878,0.76792,1.15265,0.008614,0.008614,0.008614
23,938.922,1.10722,0.767,1.13419,0.62463,0.54878,0.58702,0.35528,1.0833,0.7506,1.15128,0.008548,0.008548,0.008548
24,978.88,1.10337,0.76202,1.13031,0.76785,0.51868,0.61732,0.37507,1.0781,0.7314,1.14611,0.008482,0.008482,0.008482
25,1018.56,1.09508,0.75174,1.12389,0.72779,0.52852,0.60543,0.37579,1.07404,0.74218,1.14642,0.008416,0.008416,0.008416
