epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0354,1.80857,2.70132,1.09283,0.41289,0.13509,0.09148,0.04658,1.70248,1.69432,1.03272,0.0701478,0.00331691,0.00331691
2,123.092,1.7604,1.74089,1.05134,0.23312,0.17628,0.12876,0.06942,1.69504,1.52996,1.01165,0.0401039,0.00660635,0.00660635
3,172.801,1.77993,1.62355,1.0369,0.21283,0.18416,0.14523,0.07595,1.67702,1.53174,1.01252,0.010016,0.0098518,0.0098518
4,222.92,1.74418,1.54053,1.02581,0.22991,0.18717,0.14804,0.0801,1.61769,1.61506,0.99326,0.009802,0.009802,0.009802
5,272.635,1.69682,1.45034,1.0081,0.2644,0.20831,0.17233,0.0967,1.62525,1.3319,0.98159,0.009736,0.009736,0.009736
6,322.668,1.65402,1.39311,0.99629,0.26274,0.22414,0.19195,0.10976,1.57159,1.2954,0.97218,0.00967,0.00967,0.00967
7,372.456,1.62869,1.33739,0.98715,0.28616,0.21886,0.19539,0.10879,1.54776,1.30752,0.9694,0.009604,0.009604,0.009604
8,422.189,1.60186,1.30978,0.98081,0.30952,0.24045,0.21347,0.11916,1.54602,1.23713,0.95767,0.009538,0.009538,0.009538
9,471.998,1.59489,1.28466,0.97706,0.31477,0.23098,0.21089,0.12038,1.53494,1.2347,0.96589,0.009472,0.009472,0.009472
10,521.729,1.57818,1.26086,0.97397,0.31835,0.25033,0.22675,0.12527,1.50171,1.20224,0.95154,0.009406,0.009406,0.009406
11,571.788,1.55826,1.23522,0.96845,0.36176,0.25154,0.22583,0.12661,1.48282,1.21251,0.95004,0.00934,0.00934,0.00934
12,621.693,1.54166,1.21234,0.9619,0.344,0.25261,0.23502,0.1317,1.46942,1.15317,0.944,0.009274,0.009274,0.009274
13,672.175,1.54268,1.21097,0.96599,0.36645,0.27175,0.25389,0.14379,1.45412,1.13113,0.94078,0.009208,0.009208,0.009208
14,722.361,1.53251,1.19269,0.96042,0.35097,0.26979,0.25186,0.14324,1.46044,1.13855,0.93812,0.009142,0.009142,0.009142
15,772.23,1.5219,1.18392,0.95851,0.34705,0.26466,0.24867,0.1429,1.44497,1.1301,0.93763,0.009076,0.009076,0.009076
16,822.093,1.51137,1.16673,0.95666,0.35441,0.27673,0.25942,0.14776,1.43688,1.11326,0.93409,0.00901,0.00901,0.00901
17,872.313,1.51194,1.16428,0.95215,0.3335,0.26961,0.25109,0.14224,1.44447,1.12322,0.938,0.008944,0.008944,0.008944
18,922.821,1.51364,1.15892,0.95085,0.35912,0.28046,0.26188,0.14982,1.42823,1.09893,0.9335,0.008878,0.008878,0.008878
19,973.331,1.49426,1.14379,0.94831,0.34987,0.27896,0.25915,0.14926,1.44132,1.10524,0.93562,0.008812,0.008812,0.008812
