epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9694,1.80479,2.41629,1.09291,0.36468,0.15028,0.12073,0.06373,1.65807,1.57335,1.02223,0.0701478,0.00331691,0.00331691
2,134.489,1.73763,1.61295,1.05102,0.21663,0.20793,0.15735,0.08456,1.66045,1.49763,1.00475,0.0401258,0.0066283,0.0066283
3,188.359,1.76857,1.54219,1.04456,0.30565,0.17842,0.14626,0.07477,1.71108,1.542,1.02363,0.0100819,0.00991769,0.00991769
4,240.24,1.74701,1.49806,1.03758,0.23467,0.20432,0.1585,0.085,1.65728,1.44539,1.00971,0.009901,0.009901,0.009901
5,292.254,1.695,1.42498,1.01352,0.29959,0.22594,0.20102,0.11261,1.57027,1.30077,0.97233,0.009868,0.009868,0.009868
6,344.373,1.65547,1.37525,0.99858,0.28147,0.2315,0.1903,0.10565,1.61029,1.3109,0.97523,0.009835,0.009835,0.009835
7,395.902,1.63025,1.32867,0.98824,0.31374,0.24982,0.2217,0.12426,1.54645,1.24904,0.96065,0.009802,0.009802,0.009802
8,447.972,1.60655,1.30174,0.98114,0.32552,0.25379,0.22785,0.12729,1.52947,1.2339,0.95454,0.009769,0.009769,0.009769
9,499.975,1.59709,1.28102,0.97698,0.2946,0.25066,0.21571,0.12158,1.53572,1.27283,0.95744,0.009736,0.009736,0.009736
10,551.352,1.5831,1.25762,0.97426,0.32046,0.25965,0.23246,0.1284,1.52502,1.20382,0.96206,0.009703,0.009703,0.009703
11,604.763,1.56324,1.23449,0.9686,0.36004,0.25186,0.23153,0.12977,1.50043,1.18813,0.95182,0.00967,0.00967,0.00967
12,656.889,1.5458,1.208,0.96135,0.35721,0.27569,0.25293,0.1451,1.45777,1.1545,0.94157,0.009637,0.009637,0.009637
13,706.108,1.54624,1.20603,0.96627,0.35379,0.2692,0.25478,0.14326,1.46114,1.15549,0.94394,0.009604,0.009604,0.009604
14,752.331,1.53585,1.18966,0.95988,0.36382,0.27552,0.26108,0.14695,1.47541,1.12932,0.93908,0.009571,0.009571,0.009571
15,799.202,1.52455,1.18262,0.95743,0.36195,0.283,0.26584,0.14996,1.43947,1.12807,0.93448,0.009538,0.009538,0.009538
16,845.902,1.51617,1.166,0.95628,0.37041,0.28768,0.27229,0.15161,1.4412,1.12153,0.93395,0.009505,0.009505,0.009505
17,892.678,1.51607,1.16306,0.95147,0.34915,0.28356,0.26299,0.14889,1.43432,1.1143,0.93406,0.009472,0.009472,0.009472
18,939.406,1.5168,1.15732,0.95002,0.36809,0.28012,0.26857,0.15341,1.44352,1.1174,0.93665,0.009439,0.009439,0.009439
19,986.109,1.49959,1.14232,0.94792,0.34369,0.27726,0.25674,0.14633,1.45156,1.14977,0.9353,0.009406,0.009406,0.009406
20,1032.78,1.49557,1.1361,0.95027,0.3811,0.2806,0.27231,0.155,1.4334,1.10952,0.93103,0.009373,0.009373,0.009373
21,1079.43,1.49622,1.13482,0.94698,0.37449,0.28919,0.27456,0.1548,1.41621,1.09456,0.92794,0.00934,0.00934,0.00934
22,1126.52,1.48143,1.11812,0.9443,0.34961,0.29115,0.26255,0.14965,1.41623,1.11332,0.93164,0.009307,0.009307,0.009307
23,1173.47,1.47876,1.11524,0.94211,0.37165,0.29599,0.2778,0.15772,1.42124,1.08287,0.93327,0.009274,0.009274,0.009274
24,1220.22,1.47656,1.11229,0.94195,0.39347,0.28154,0.27419,0.15404,1.42422,1.08712,0.92964,0.009241,0.009241,0.009241
25,1267.05,1.46702,1.10234,0.94113,0.3777,0.29003,0.28065,0.16129,1.3999,1.09097,0.9234,0.009208,0.009208,0.009208
26,1314.69,1.46932,1.1025,0.94112,0.37497,0.29456,0.2762,0.15964,1.41018,1.07882,0.92262,0.009175,0.009175,0.009175
27,1362.3,1.45611,1.0927,0.93798,0.39549,0.29575,0.29033,0.16522,1.40154,1.05993,0.92448,0.009142,0.009142,0.009142
28,1409.76,1.46917,1.09237,0.9391,0.39913,0.28925,0.28454,0.163,1.40558,1.05693,0.9213,0.009109,0.009109,0.009109
29,1457.31,1.46247,1.09037,0.93873,0.39668,0.29314,0.28707,0.1649,1.38618,1.06701,0.92345,0.009076,0.009076,0.009076
30,1504.73,1.45122,1.08457,0.93749,0.39742,0.29757,0.28933,0.16491,1.38327,1.05005,0.92056,0.009043,0.009043,0.009043
31,1552.11,1.45693,1.08242,0.93604,0.38801,0.29636,0.28872,0.16564,1.39074,1.05676,0.92031,0.00901,0.00901,0.00901
32,1599.68,1.44839,1.07022,0.93367,0.39519,0.29369,0.28764,0.16417,1.38469,1.06748,0.91936,0.008977,0.008977,0.008977
