epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.459,4.51671,4.22809,2.98731,0.32004,0.0259,0.01001,0.00282,3.64541,3.89662,2.05041,0.0701478,0.00331691,0.00331691
2,132.035,2.90359,2.69285,1.58332,0.07371,0.07955,0.04813,0.01865,2.60503,2.24104,1.35838,0.0401258,0.0066283,0.0066283
3,187.68,2.47214,2.29666,1.37434,0.18742,0.0958,0.0585,0.02564,2.3092,1.95064,1.25252,0.0100819,0.00991769,0.00991769
4,242.038,2.21764,2.03084,1.27576,0.1291,0.12032,0.08606,0.04234,1.97994,1.70943,1.18093,0.009901,0.009901,0.009901
5,295.663,2.06537,1.8446,1.21593,0.18378,0.14472,0.11189,0.05524,1.88648,1.59604,1.13161,0.009868,0.009868,0.009868
6,349.218,1.9615,1.72897,1.17763,0.17455,0.16811,0.11535,0.0582,1.80857,1.52289,1.09871,0.009835,0.009835,0.009835
7,402.396,1.89252,1.64453,1.14954,0.21822,0.15361,0.13428,0.06873,1.76985,1.48458,1.09589,0.009802,0.009802,0.009802
8,455.792,1.83616,1.58451,1.13365,0.22347,0.17374,0.14286,0.07489,1.71713,1.39075,1.06509,0.009769,0.009769,0.009769
9,512.408,1.80726,1.53801,1.11976,0.20754,0.18047,0.14041,0.07555,1.68772,1.36999,1.07264,0.009736,0.009736,0.009736
10,567.846,1.7709,1.4969,1.11072,0.24073,0.19186,0.16366,0.08572,1.65406,1.33569,1.05766,0.009703,0.009703,0.009703
11,623.619,1.73811,1.45668,1.10256,0.2756,0.19224,0.15249,0.08175,1.63618,1.37394,1.04355,0.00967,0.00967,0.00967
12,678.162,1.70619,1.41679,1.08677,0.25544,0.19311,0.16779,0.09045,1.58547,1.27527,1.03731,0.009637,0.009637,0.009637
13,732.067,1.6995,1.40446,1.09077,0.25044,0.21095,0.17874,0.09642,1.56926,1.24341,1.02839,0.009604,0.009604,0.009604
14,785.635,1.67541,1.37884,1.0807,0.28385,0.21715,0.18949,0.1024,1.55887,1.23381,1.02481,0.009571,0.009571,0.009571
15,839.851,1.65929,1.3611,1.07528,0.28698,0.22897,0.19889,0.10949,1.51474,1.19213,1.01441,0.009538,0.009538,0.009538
16,894.53,1.64137,1.33506,1.07199,0.28495,0.21894,0.19541,0.10671,1.52898,1.20116,1.01252,0.009505,0.009505,0.009505
17,948.586,1.63206,1.32411,1.06155,0.28833,0.23475,0.20604,0.11209,1.49271,1.17019,1.00731,0.009472,0.009472,0.009472
18,1003.38,1.62784,1.3125,1.05926,0.2962,0.22945,0.20755,0.11415,1.48952,1.1729,1.00726,0.009439,0.009439,0.009439
19,1058.1,1.60334,1.29427,1.05337,0.31114,0.23368,0.21318,0.11832,1.4947,1.16701,1.01145,0.009406,0.009406,0.009406
20,1112.4,1.59338,1.28144,1.05597,0.29684,0.22197,0.2065,0.11307,1.49604,1.16396,1.00572,0.009373,0.009373,0.009373
21,1166.07,1.58699,1.27176,1.04849,0.29877,0.24463,0.21798,0.1224,1.46702,1.15327,0.99854,0.00934,0.00934,0.00934
22,1219.36,1.57288,1.25168,1.04745,0.32543,0.23158,0.22301,0.12455,1.46397,1.13677,0.99655,0.009307,0.009307,0.009307
23,1273.04,1.56514,1.24372,1.04062,0.317,0.24294,0.22568,0.12762,1.4457,1.12948,0.99387,0.009274,0.009274,0.009274
24,1327.6,1.55985,1.2422,1.04056,0.33198,0.25624,0.23051,0.12874,1.45236,1.12301,0.99402,0.009241,0.009241,0.009241
25,1381.66,1.54539,1.22742,1.03746,0.33906,0.24764,0.23344,0.13187,1.43415,1.11344,0.98875,0.009208,0.009208,0.009208
26,1436,1.54571,1.22173,1.03772,0.31228,0.24936,0.2282,0.1292,1.43762,1.12613,0.98718,0.009175,0.009175,0.009175
27,1491.72,1.52844,1.20824,1.03254,0.32764,0.25987,0.23913,0.13545,1.41996,1.09662,0.98564,0.009142,0.009142,0.009142
28,1548.78,1.53848,1.20612,1.03354,0.34805,0.25023,0.23692,0.13354,1.41712,1.08285,0.98312,0.009109,0.009109,0.009109
29,1606.54,1.52838,1.20347,1.03159,0.34671,0.25562,0.24581,0.1375,1.40794,1.07803,0.98066,0.009076,0.009076,0.009076
30,1664.5,1.51927,1.19629,1.03083,0.35824,0.26388,0.24964,0.13928,1.39671,1.07768,0.97968,0.009043,0.009043,0.009043
31,1721.36,1.51871,1.19201,1.02686,0.36817,0.25762,0.24922,0.13986,1.40681,1.07116,0.98141,0.00901,0.00901,0.00901
32,1777.67,1.5098,1.17807,1.02343,0.37026,0.26119,0.2586,0.1452,1.39674,1.06767,0.97977,0.008977,0.008977,0.008977
33,1833.52,1.50858,1.17485,1.02477,0.3669,0.27124,0.25933,0.1466,1.38731,1.06307,0.97531,0.008944,0.008944,0.008944
34,1888.05,1.50464,1.17606,1.01933,0.36015,0.2691,0.25563,0.14635,1.38977,1.05942,0.97528,0.008911,0.008911,0.008911
35,1939.33,1.50476,1.16863,1.0192,0.35503,0.27605,0.26266,0.14868,1.3825,1.0496,0.975,0.008878,0.008878,0.008878
36,1991.33,1.48505,1.1528,1.017,0.38494,0.2753,0.26483,0.15033,1.38017,1.05114,0.97315,0.008845,0.008845,0.008845
37,2043.27,1.48943,1.15554,1.01755,0.3615,0.27628,0.26077,0.148,1.37089,1.04086,0.97286,0.008812,0.008812,0.008812
38,2095.13,1.47884,1.14144,1.01423,0.37112,0.27604,0.26236,0.14855,1.38352,1.06271,0.97508,0.008779,0.008779,0.008779
39,2146.77,1.48203,1.15043,1.01703,0.38082,0.27741,0.26811,0.15235,1.38943,1.05967,0.97046,0.008746,0.008746,0.008746
