epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0033,3.92435,3.6689,2.40926,0.25132,0.07729,0.04085,0.01666,2.67271,2.41516,1.51225,0.0701478,0.00331691,0.00331691
2,141.379,2.44285,2.24857,1.39445,0.19589,0.1028,0.07445,0.03177,2.23136,1.8616,1.26638,0.0401039,0.00660635,0.00660635
3,195.175,2.23058,1.99951,1.28206,0.2149,0.11321,0.07897,0.03551,2.24207,1.93853,1.22066,0.010016,0.0098518,0.0098518
4,247.96,2.06027,1.81325,1.21737,0.16406,0.13502,0.1042,0.05088,1.94401,1.66753,1.14762,0.009802,0.009802,0.009802
5,300.997,1.94134,1.68054,1.17079,0.19397,0.16888,0.12593,0.06466,1.85144,1.49326,1.10213,0.009736,0.009736,0.009736
6,354.27,1.85866,1.59735,1.14122,0.1891,0.18282,0.12592,0.06291,1.79117,1.46791,1.08891,0.00967,0.00967,0.00967
7,407.043,1.80513,1.53012,1.11959,0.23965,0.18153,0.15583,0.08022,1.72456,1.42781,1.07921,0.009604,0.009604,0.009604
8,460.104,1.76096,1.48572,1.10714,0.24812,0.20178,0.16391,0.08773,1.63284,1.32355,1.05229,0.009538,0.009538,0.009538
9,513.125,1.73631,1.44868,1.09611,0.26547,0.19002,0.16523,0.09191,1.62999,1.35129,1.05301,0.009472,0.009472,0.009472
10,566.06,1.7082,1.41221,1.0899,0.242,0.21333,0.17436,0.09571,1.61861,1.31183,1.04517,0.009406,0.009406,0.009406
11,620.4,1.67779,1.37882,1.083,0.25122,0.21705,0.17667,0.09669,1.58682,1.29452,1.02557,0.00934,0.00934,0.00934
12,673.933,1.64682,1.34136,1.068,0.30985,0.22716,0.1957,0.1074,1.53254,1.22483,1.02173,0.009274,0.009274,0.009274
13,726.956,1.64272,1.33539,1.07209,0.27606,0.23776,0.20479,0.11316,1.52364,1.19814,1.01866,0.009208,0.009208,0.009208
14,780.063,1.62427,1.31387,1.06365,0.28643,0.22728,0.20387,0.11223,1.54799,1.19994,1.01556,0.009142,0.009142,0.009142
15,833.749,1.60846,1.29421,1.05913,0.29199,0.24392,0.21704,0.12073,1.48345,1.15621,1.00858,0.009076,0.009076,0.009076
16,887.766,1.59514,1.27821,1.05684,0.29853,0.24466,0.2139,0.11906,1.50865,1.20258,1.00925,0.00901,0.00901,0.00901
17,940.97,1.59123,1.26848,1.04836,0.28291,0.23636,0.20526,0.11422,1.51521,1.17862,1.01259,0.008944,0.008944,0.008944
18,993.466,1.58576,1.25823,1.0458,0.28925,0.24293,0.22011,0.12268,1.48202,1.16598,1.00328,0.008878,0.008878,0.008878
